phylum	genus	date	pmid
Firmicutes	Clostridium	2017-01	28469704
Firmicutes	Clostridium	2017-07	28465060
Firmicutes	Clostridium	2017-04	28400329
Firmicutes	Clostridium	2017-04	28399189
Firmicutes	Clostridium	2017-05	28258147
Firmicutes	Clostridium	2017-05	28238080
Firmicutes	Clostridium	2017-04	28193327
Firmicutes	Clostridium	2017-03	28190182
Firmicutes	Clostridium	2017-03	28163194
Firmicutes	Clostridium	2017-03	28119139
Firmicutes	Clostridium	2017-02	28075130
Firmicutes	Clostridium	2017-04	28067500
Firmicutes	Clostridium	2017-03	28063363
Firmicutes	Clostridium	2016-12	27964731
Firmicutes	Clostridium	2016-01	27893790
Firmicutes	Clostridium	2017-01	27836845
Firmicutes	Clostridium	2016-12	27487328
Firmicutes	Clostridium	2016-12	27377776
Firmicutes	Clostridium	2017-04	27800599
Firmicutes	Clostridium	2016-01	27800016
Firmicutes	Clostridium	2017-01	27794465
Firmicutes	Clostridium	2016-12	27240718
Firmicutes	Clostridium	2016-01	27777621
Firmicutes	Clostridium	2016-11	27720802
Firmicutes	Clostridium	2016-01	27602057
Firmicutes	Clostridium	2017-02	27531464
Firmicutes	Clostridium	2016-08	27527841
Firmicutes	Clostridium	2016-01	27507332
Firmicutes	Clostridium	2016-10	27496775
Firmicutes	Clostridium	2016-01	27458439
Firmicutes	Clostridium	2016-10	27441828
Firmicutes	Clostridium	2016-09	27342556
Firmicutes	Clostridium	2016-06	27302759
Firmicutes	Clostridium	2016-09	27285575
Firmicutes	Clostridium	2016-12	27276212
Firmicutes	Clostridium	2016-01	27242769
Firmicutes	Clostridium	2016-10	27234263
Firmicutes	Clostridium	2016-07	27213844
Firmicutes	Clostridium	2016-07	27194524
Firmicutes	Clostridium	2016-06	27190292
Firmicutes	Clostridium	2016-07	27188957
Firmicutes	Clostridium	2015-04	27160660
Firmicutes	Clostridium	2016-05	27157668
Firmicutes	Clostridium	2016-01	27118994
Firmicutes	Clostridium	2016-07	27115041
Firmicutes	Clostridium	2016-06	27107467
Firmicutes	Clostridium	2016-07	27085150
Firmicutes	Clostridium	2016-10	26987294
Firmicutes	Clostridium	2016-02	26950326
Firmicutes	Clostridium	2016-04	26940293
