phylum	genus	perc	date	pmid
Actinobacteria	Acinomyces	0.08	2008-03	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2008-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2009-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Enterococcus	3.6	2009-06	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2009-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2009-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2009-12	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Yersenia	0.15	2010-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2010-05	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2010-05	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2010-06	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2010-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Porphyromonas	13	2010-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2010-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2010-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2011-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2011-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2011-05	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2011-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2011-12	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Ruminococcus	3.6	2012-02	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2012-04	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2012-05	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2012-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2012-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactobaccilus	3.6	2012-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2012-12	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2013-04	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Prevotella	13	2013-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Neisseria	0.15	2013-12	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2014-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Enterococcus	3.6	2014-03	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2014-04	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Prevotella	13	2014-06	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2014-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Capnocytophaga	13	2014-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2014-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Yersenia	0.15	2014-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Pseudomonas	0.15	2015-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Porphyromonas	13	2015-02	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2015-03	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Prevotella	13	2015-03	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Bacteroides	13	2015-05	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Bacteroides	13	2015-07	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2015-07	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Bacteroides	13	2015-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Enterococcus	3.6	2015-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2015-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Bacteroides	13	2015-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Bacteroides	13	2015-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2015-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2015-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Capnocytophaga	13	2015-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2015-11	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2015-12	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2016-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2016-01	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2016-03	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2016-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2016-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2016-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2016-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-02	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Bacillus	3.6	2017-04	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Bacteroidetes	Porphyromonas	13	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Pseudomonas	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Neisseria	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Neisseria	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Ruminococcus	3.6	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactobaccilus	3.6	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Pseudomonas	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Neisseria	0.15	2017-08	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Acinomyces	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactobaccilus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Pseudomonas	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactobaccilus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
